lemma,translit,gloss
αὐγάζω,ow-gad'-zo,shine
αὐγή,owg'-ay,break of day
αὐθάδης,ow-thad'-ace,self-willed
αὐθαίρετος,ow-thah'-ee-ret-os,"of own accord, willing of self"
αὐθεντέω,ow-then-teh'-o,usurp authority over
αὐλέω,ow-leh'-o,pipe
αὐλή,ow-lay',"court, (sheep-)fold, hall, palace"
αὐλίζομαι,ow-lid'-zom-ahee,"abide, lodge"
αὐλητής,ow-lay-tace',"minstrel, piper"
αὐλός,ow-los',pipe
αὐξάνω,owx-an'-o,"grow (up), (give the) increase"
αὐστηρός,ow-stay-ros',austere
αὐτάρκεια,ow-tar'-ki-ah,"contentment, sufficiency"
αὐτάρκης,ow-tar'-kace,content
αὐτοκατάκριτος,ow-tok-at-ak'-ree-tos,condemned of self
αὐτοῦ,ow-too',(t-)here
αὐτόματος,ow-tom'-at-os,"of own accord, of self"
αὐτόπτης,ow-top'-tace,eye-witness
αὐτός,ow-tos',"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy-)self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which"
αὐτόχειρ,ow-tokh'-ire,with … own hands
αὐχμηρός,owkh-may-ros',dark
αὑτοῦ,how-too',"her (own), (of) him(-self), his (own), of it, thee, their (own), them(-selves), they"
αὔξησις,owx'-ay-sis,increase
αὔριον,ow'-ree-on,"(to-)morrow, next day"
βάθος,bath'-os,"deep(-ness, things), depth"
βάλλω,bal'-lo,"arise, cast (out), X dung, lay, lie, pour, put (up), send, strike, throw (down), thrust"
βάπτισμα,bap'-tis-mah,baptism
βάπτω,bap'-to,dip
βάρβαρος,bar'-bar-os,barbarian(-rous)
βάρος,bar'-os,"burden(-some), weight"
βάσανος,bas'-an-os,torment
βάσις,bas'-ece,foot
βάτος,bat'-os,measure
βάτραχος,bat'-rakh-os,frog
βέβαιος,beb'-ah-yos,"firm, of force, stedfast, sure"
βέβηλος,beb'-ay-los,profane (person)
βέλος,bel'-os,dart
βήρυλλος,bay'-rool-los,beryl
βία,bee'-ah,violence
βίαιος,bee'-ah-yos,mighty
βίβλος,bib'-los,book
βίος,bee'-os,"good, life, living"
βίωσις,bee'-o-sis,manner of life
βαΐον,bah-ee'-on,branch
βαθμός,bath-mos',degree
βαθύνω,bath-oo'-no,deep
βαθύς,bath-oos',"deep, very early"
βαλάντιον,bal-an'-tee-on,"bag, purse"
βαπτίζω,bap-tid'-zo,"Baptist, baptize, wash"
βαπτισμός,bap-tis-mos',"baptism, washing"
βαρέω,bar-eh'-o,"burden, charge, heavy, press"
βαρέως,bar-eh'-oce,dull
βαρύνω,bar-oo'-no,overcharge
βαρύς,bar-ooce',"grievous, heavy, weightier"
βαρύτιμος,bar-oo'-tim-os,very precious
βασίλειον,bas-il'-i-on,king's court
βασίλειος,bas-il'-i-os,royal
βασίλισσα,bas-il'-is-sah,queen
βασανίζω,bas-an-id'-zo,"pain, toil, torment, toss, vex"
βασανισμός,bas-an-is-mos',torment
βασανιστής,bas-an-is-tace',tormentor
βασιλεία,bas-il-i'-ah,"kingdom, + reign"
βασιλεύς,bas-il-yooce',king
βασιλεύω,bas-il-yoo'-o,"king, reign"
