strong,lemma,translit,gloss
H374,אֵיפָה,ay-faw',"ephah, (divers) measure(-s)"
H375,NONE,ay-fo',what place?
H376,אּישׁ,eesh,"also, another, any (man), a certain, + champion, consent, each, every (one), fellow, (foot-, husband-)man, (good-, great, mighty) man, he, high (degree), him (that is), husband, man(-kind), + none, one, people, person, + steward, what (man) soever, whoso(-ever), worthy"
H377,אּישׁ,eesh,show (one) self a man
H378,אּישׁ־בֹּ֫שֶׁת,eesh-bo'-sheth,Ish-bosheth
H379,אּישְׁהוֹד,eesh-hode',Ishod
H380,אּישׁוֹן,ee-shone',"apple (of the eye), black, obscure"
H381,אּישׁ־חַ֫יִל,eesh-khah'-yil,a valiant man
H382,אּישׁ־טוֹב,eesh-tobe',Ish-tob
H383,אּיתַי,ee-thah'ee,"art thou, can, do ye, have, it be, there is (are), X we will not"
H384,אּיתִיאֵל,eeth-ee-ale',Ithiel
H385,אּיתָמָר,eeth-aw-mawr',Ithamar
H386,אֵיתָן,ay-thawn',"hard, mighty, rough, strength, strong"
H387,אֵיתָן,ay-thawn',Ethan
H388,הָאֵ֫תָנִ֫ים,ay-thaw-neem',Ethanim
H389,NONE,ak,"also, in any wise, at least, but, certainly, even, howbeit, nevertheless, notwithstanding, only, save, surely, of a surety, truly, verily, + wherefore, yet (but)"
H390,אַכַּד,ak-kad',Accad
H391,אַכְזָב,ak-zawb',"liar, lie"
H392,אַכְזִיב,ak-zeeb',Achzib
H393,אַכְזָר,ak-zawr',"cruel, fierce"
H394,אַכְזָרִי,ak-zawr-ree',cruel (one)
H395,אַכְזְרִיּוּת,ak-ze-ree-ooth',cruel
H396,אֲכִילָה,ak-ee-law',meat
H397,אָכִישׁ,aw-keesh',Achish
H398,אָכַל,aw-kal',"X at all, burn up, consume, devour(-er, up), dine, eat(-er, up), feed (with), food, X freely, X in"
H399,אֲכַל,ak-al',"+ accuse, devour, eat"
H400,אֹ֫כֶל,o'-kel,"eating, food, meal(-time), meat, prey, victuals"
H401,אֻכָל,oo-kawl',Ucal
H402,אָכְלָה,ok-law',"consume, devour, eat, food, meat"
H403,אָכֵן,aw-kane',"but, certainly, nevertheless, surely, truly, verily"
H404,אָכַף,aw-kaf',crave
H405,אֶ֫כֶף,eh'-kef,hand
H406,אּכָּר,ik-kawr',"husbandman, ploughman"
H407,אַכְשָׁף,ak-shawf',Achshaph
H408,אַל,al,"nay, neither, + never, no, nor, not, nothing (worth), rather than"
H409,אַל,al,not
H410,אֵל,ale,"God (god), X goodly, X great, idol, might(-y one), power, strong"
H411,אֵל,ale,"these, those"
H412,אֵל,ale,these
H413,אֶל,ale,"about, according to, after, against, among, as for, at, because(-fore, -side), both"
H414,אֵלָא,ay-law',Elah
H415,אֵל אֱלֹהֵי יִשְׂרָאֵל,ale el-o-hay' yis-raw-ale',El-elohe-israel
H416,אֵל בֵּית־אֵל,ale bayth-ale',El-beth-el
H417,אֶלְגָּבִישׁ,el-gaw-beesh',great hail(-stones)
H418,אַלְגּוּמִּים,al-goom-meem',algum (trees)
H419,אֶלְדָּד,el-dad',Eldad
H420,אֶלְדָּעָה,el-daw-aw',Eldaah
H421,אָלָה,aw-law',lament
H422,אָלָה,aw-law',"adjure, curse, swear"
H423,אָלָה,aw-law',"curse, cursing, execration, oath, swearing"
H424,אֵלָה,ay-law',"elm, oak, teil-tree"
H425,אֵלָה,ay-law',Elah
H426,אֱלָהּ,el-aw',"God, god"
H427,אַלָּה,al-law',oak
H428,אֵ֫לֶּה,ale'-leh,"an- (the) other; one sort, so, some, such, them, these (same), they, this, those, thus, which, who(-m)"
H429,אֵ֫לֶּה,ale'-leh,these
H430,אֱלֹהִים,el-o-heem',"angels, X exceeding, God (gods)(-dess, -ly), X (very) great, judges, X mighty"
H431,אֲלוּ,al-oo',behold
H432,אּלּוּ,il-loo',"but if, yea though"
H433,אֱל֫וֹהַּ,el-o'-ah,"God, god"
H434,אֱלִול,el-ool',thing of nought
H435,אֱלוּל,el-ool',Elul
H436,אֵלוֹן,ay-lone',plain
H437,אַלּוֹן,al-lone',oak
H438,אַלּוֹן,al-lone',Allon
H439,אַלּוֹן בָּכוּת,al-lone' baw-kooth',Allon-bachuth
H440,אֵלֹנִי,ay-lo-nee',Elonites
H441,אַלּוּף,al-loof',"captain, duke, (chief) friend, governor, guide, ox"
H442,אָלוּשׁ,aw-loosh',Alush
H443,אֶלְזָבָד,el-zaw-bawd',Elzabad
H444,אָלַח,aw-lakh',become filthy
H445,אֶלְחָנָן,el-khaw-nawn',Elkanan
H446,אֱלִיאָב,el-ee-awb',Eliab
H447,אֱלִיאֵל,el-ee-ale',Eliel
H448,אֱלִיאָ֫תָה,el-ee-aw-thaw',Eliathah
H449,אֱלִידָד,el-ee-dawd',Elidad
H450,אֶלְיָדָע,el-yaw-daw',Eliada
H451,אַלְיָה,al-yaw',rump
H452,אֵלִיָּה,ay-lee-yaw',"Elijah, Eliah"
H453,אֱלִיהוּא,el-ee-hoo',Elihu
H454,אֶלְיְהוֹעֵינַי,el-ye-ho-ay-nah'ee,"Elihoenai, Elionai"
H455,אֶלְיַחְבָּא,el-yakh-baw',Eliahbah
H456,אֱלִיחֹ֫רֶף,el-ee-kho'-ref,Elihoreph
H457,אֱלִיל,el-eel',"idol, no value, thing of nought"
H458,אֱלִימֶ֫לֶך,el-ee-meh'-lek,Elimelech
H459,אּלֵּין,il-lane',"the, these"
H460,אֶלְיָסָף,el-yaw-sawf',Eliasaph
H461,אֱלִיעֶ֫זֶר,el-ee-eh'-zer,Eliezer
